Date,Open,High,Low,Close,Adj Close,Volume
9/30/22,83.300003,86.199997,82.5,83.120003,82.630051,48176100
10/3/22,83.129997,86.470001,82.220001,85.400002,84.896606,19108200
10/4/22,87.699997,89.07,87.110001,88.639999,88.1175,15114800
10/5/22,87.489998,91.699997,87.150002,91.099998,90.563004,12732700
10/6/22,90.489998,92.639999,89.809998,90.169998,89.638481,9951900
10/7/22,88.540001,88.760002,86.690002,87.160004,86.646233,8554700
10/10/22,87.760002,87.779999,85.07,86.690002,86.179001,7991200
10/11/22,86.040001,88.25,85.75,87.989998,87.471336,11903200
10/12/22,88,88.879997,87.309998,88.510002,87.988274,8772900
10/13/22,86.389999,89.809998,86.050003,89.559998,89.032082,9335000
10/14/22,90.510002,90.879997,87.489998,87.550003,87.033936,7811700
10/17/22,89.529999,90.690002,88.699997,89.970001,89.439667,8451900
10/18/22,92.599998,92.910004,89.150002,89.68,89.151375,7364700
10/19/22,88.260002,89.739998,87.760002,88.57,88.047913,5102000
10/20/22,89.470001,90.580002,86.610001,86.830002,86.318176,13500000
10/21/22,87.019997,88.779999,86.709999,88.5,87.978333,7976300
10/24/22,87.790001,88.839996,86.239998,88.010002,87.491219,8847100
10/25/22,88.029999,91.93,87.889999,91.720001,91.179352,8639900
10/26/22,90.779999,94.349998,90.699997,92.389999,91.845398,8648200
10/27/22,92.879997,93.480003,90.220001,90.540001,90.006302,8617900
10/28/22,91.199997,93.879997,90.459999,93.830002,93.276909,6022400
10/31/22,93,93.889999,92.68,92.68,92.13369,6426400
11/1/22,95.690002,96.459999,92.970001,93.769997,93.217262,7250700
11/2/22,93.129997,94.440002,90.190002,90.300003,89.767723,7176600
11/3/22,89.970001,91.610001,88.720001,90.400002,89.867126,6550300
11/4/22,94.449997,98.230003,93.949997,95.790001,95.225357,12543300
11/7/22,96.309998,96.870003,92.669998,93.440002,92.889214,9094500
11/8/22,94.440002,96.029999,92.940002,93.75,93.19738,7017800
11/9/22,92.669998,93.900002,91.959999,92.099998,91.557106,6550900
11/10/22,96.330002,99.68,96.230003,99.489998,98.903542,9361000
11/11/22,100.309998,107.209999,100.139999,106.089996,105.464638,12597500
11/14/22,105.199997,106.440002,104.32,104.389999,103.774666,7134900
11/15/22,107.989998,109.309998,105.529999,106.709999,106.080986,7242900
11/16/22,105.25,106.599998,104.769997,105.230003,104.609718,5998700
11/17/22,104.110001,105.400002,102.919998,105.360001,104.738945,5252900
11/18/22,107.629997,107.720001,104.169998,105.419998,104.798592,5498900
11/21/22,104.610001,105.480003,103.599998,103.830002,103.217964,4774800
11/22/22,104.620003,106.160004,103.839996,105.970001,105.345352,5313200
11/23/22,106,106.980003,105.230003,106.650002,106.021347,3873100
11/25/22,106.449997,107.18,105.559998,105.959999,105.335411,3426100
11/28/22,105.25,106.300003,104.650002,104.959999,104.341301,6967400
11/29/22,105.370003,106.82,105.120003,106.25,105.623703,8494400
